track_id,track_name,artists,track_genre,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
trk_00067,Musica 00067,Artista 198,sertanejo,50,0.7923,0.5191,-6.5567,0.2816,0.2403,0.0978,0.1563,0.225,121.86,144393
trk_00068,Musica 00068,Artista 231,hip-hop,71,0.79,0.4133,-7.9429,0.1847,0.3998,0.0008,0.2606,0.1619,117.03,195892
trk_00069,Musica 00069,Artista 234,pop,80,0.8074,0.7304,-6.9773,0.1723,0.1777,0.0396,0.0843,0.5704,73.74,207009
trk_00070,Musica 00070,Artista 228,electronic,53,0.5813,0.5593,-8.7257,0.4558,0.1009,0.0842,0.1824,0.2078,96.69,259986
trk_00071,Musica 00071,Artista 228,rock,63,0.8869,0.6451,-2.5808,0.1526,0.3119,0.0459,0.0813,0.2075,147.41,137868
trk_00072,Musica 00072,Artista 143,hip-hop,58,0.2375,0.6545,0.7026,0.0241,0.2728,0.0622,0.2216,0.3949,144.21,166628
trk_00073,Musica 00073,Artista 047,latin,79,0.7844,0.3584,-6.02,0.0431,0.234,0.1659,0.0119,0.8143,127.1,197936
trk_00074,Musica 00074,Artista 241,rock,55,0.5811,0.3482,-5.3924,0.0874,0.5415,0.0542,0.3421,0.4337,109.15,208793
trk_00075,Musica 00075,Artista 191,pop,54,0.5208,0.2732,-7.456,0.1402,0.174,0.0156,0.3395,0.566,122.12,248654
trk_00076,Musica 00076,Artista 136,rock,64,0.5839,0.771,-5.2664,0.1679,0.3766,0.3191,0.3767,0.3714,100.73,136949
trk_00077,Musica 00077,Artista 172,rock,62,0.6774,0.8515,-7.0867,0.3654,0.3103,0.024,0.2313,0.403,153.03,299939
trk_00078,Musica 00078,Artista 039,funk,60,0.4269,0.654,-1.8039,0.3577,0.3444,0.043,0.3248,0.8851,148.47,199346
trk_00079,Musica 00079,Artista 004,sertanejo,69,0.5777,0.4287,-5.4589,0.0894,0.2601,0.3605,0.0361,0.5675,125.71,293979
trk_00080,Musica 00080,Artista 139,indie,65,0.5297,0.8029,-2.7246,0.7466,0.3593,0.0007,0.2605,0.3773,104.89,254562
trk_00081,Musica 00081,Artista 245,funk,64,0.7924,0.1838,-7.9416,0.0398,0.3782,0.039,0.1663,0.7005,131.77,150744
trk_00082,Musica 00082,Artista 139,hip-hop,82,0.7852,0.5663,-10.8934,0.0313,0.2988,0.137,0.2536,0.3669,136.69,177373
trk_00083,Musica 00083,Artista 059,latin,62,0.35,0.8231,-6.6737,0.2066,0.3535,0.0969,0.0859,0.7149,123.5,92710
trk_00084,Musica 00084,Artista 149,pop,58,0.7188,0.44,-4.6643,0.1594,0.367,0.1252,0.0448,0.486,97.91,154280
trk_00085,Musica 00085,Artista 201,pop,84,0.6876,0.6689,-3.9847,0.1168,0.189,0.0301,0.3355,0.7548,147.57,202092
trk_00086,Musica 00086,Artista 127,pop,83,0.2975,0.9509,-3.2803,0.1772,0.1225,0.3988,0.1974,0.7121,137.2,180426
trk_00087,Musica 00087,Artista 033,funk,67,0.734,0.3448,-4.4627,0.0965,0.4957,0.0571,0.1022,0.6339,93.97,150249
trk_00088,Musica 00088,Artista 173,electronic,81,0.8629,0.9345,-7.1603,0.0761,0.4157,0.0004,0.0371,0.355,123.94,185604
trk_00089,Musica 00089,Artista 225,pop,64,0.8442,0.5241,-2.6776,0.1022,0.32,0.217,0.256,0.3845,98.13,173699
trk_00090,Musica 00090,Artista 200,electronic,55,0.716,0.4565,-0.102,0.0528,0.1918,0.1422,0.166,0.4044,113.34,166313
trk_00091,Musica 00091,Artista 176,pop,64,0.4316,0.2627,-3.4165,0.1204,0.4574,0.1081,0.0316,0.8687,114.35,223291
trk_00092,Musica 00092,Artista 195,funk,51,0.7031,0.671,-5.781,0.2088,0.3458,0.1687,0.1491,0.4141,89.67,122139
trk_00093,Musica 00093,Artista 089,electronic,68,0.7017,0.4026,-1.9945,0.0562,0.243,0.0044,0.0283,0.8176,98.06,257346
trk_00094,Musica 00094,Artista 181,hip-hop,62,0.7085,0.2386,-5.6792,0.0642,0.069,0.045,0.4077,0.3044,152.53,207866
trk_00095,Musica 00095,Artista 211,hip-hop,79,0.8941,0.4811,-6.1311,0.0979,0.1536,0.0194,0.3892,0.5797,74.05,233487
trk_00096,Musica 00096,Artista 115,funk,78,0.6351,0.7423,-2.55,0.0711,0.3148,0.3814,0.1305,0.4921,136.9,201046
trk_00097,Musica 00097,Artista 033,hip-hop,54,0.7971,0.5072,-1.3277,0.0396,0.492,0.0191,0.3889,0.3769,126.16,193934
trk_00098,Musica 00098,Artista 006,pop,69,0.6055,0.4656,-13.6242,0.2929,0.3908,0.0718,0.185,0.4002,146.88,124597
trk_00099,Musica 00099,Artista 157,pop,62,0.6885,0.7957,-10.6057,0.0582,0.2956,0.3062,0.2088,0.6335,86.69,355173
trk_00100,Musica 00100,Artista 133,dance,45,0.7333,0.2113,-11.9637,0.1138,0.1846,0.0911,0.5217,0.1548,132.01,250244
trk_00101,Musica 00101,Artista 021,r&b,71,0.626,0.7987,-5.5808,0.1629,0.18,0.1014,0.1173,0.628,149.68,207482
trk_00102,Musica 00102,Artista 207,funk,62,0.82,0.606,-3.6548,0.0716,0.7282,0.009,0.2409,0.6571,191.36,241621
trk_00103,Musica 00103,Artista 003,rock,57,0.6787,0.5605,-0.7504,0.109,0.1741,0.1752,0.1419,0.2569,131.2,203624
trk_00104,Musica 00104,Artista 205,dance,64,0.6734,0.5647,-9.2544,0.2226,0.2993,0.0197,0.6133,0.3959,130.58,156840
trk_00105,Musica 00105,Artista 077,indie,67,0.4555,0.6682,-0.2896,0.1062,0.2143,0.2125,0.0383,0.575,112.79,159386
trk_00106,Musica 00106,Artista 067,funk,58,0.3989,0.4241,-7.5035,0.1582,0.3987,0.0181,0.2091,0.2894,158.0,295396
trk_00107,Musica 00107,Artista 204,electronic,76,0.7719,0.8046,-1.8531,0.1543,0.0202,0.2025,0.2092,0.4475,101.5,203068
trk_00108,Musica 00108,Artista 235,rock,76,0.8829,0.1972,-7.9994,0.2664,0.5144,0.1321,0.1048,0.3799,116.15,259506
trk_00109,Musica 00109,Artista 135,pop,64,0.7079,0.4193,-10.3867,0.0674,0.1685,0.0635,0.4605,0.4502,76.38,256388
trk_00110,Musica 00110,Artista 213,r&b,62,0.9411,0.5985,-1.5957,0.0305,0.4736,0.251,0.0904,0.7595,76.5,201961
trk_00111,Musica 00111,Artista 196,electronic,86,0.8107,0.7218,-7.4132,0.1588,0.2878,0.1,0.017,0.739,105.01,208927
trk_00112,Musica 00112,Artista 194,rock,51,0.3737,0.9058,-8.2814,0.3236,0.4378,0.0304,0.0833,0.6067,116.91,179836
trk_00113,Musica 00113,Artista 168,hip-hop,47,0.6513,0.265,-3.2007,0.1007,0.5568,0.0358,0.5519,0.2989,122.97,219064
trk_00114,Musica 00114,Artista 004,sertanejo,55,0.5235,0.3664,-4.4961,0.0434,0.15,0.0158,0.1213,0.1794,59.94,262211
trk_00115,Musica 00115,Artista 012,pop,48,0.6888,0.4899,-1.4668,0.2144,0.1918,0.4675,0.4439,0.6364,142.19,269269
trk_00116,Musica 00116,Artista 043,latin,51,0.6542,0.6092,-0.212,0.0144,0.7286,0.0061,0.1277,0.1292,69.22,140409
trk_00117,Musica 00117,Artista 015,indie,63,0.825,0.5859,-3.4622,0.1007,0.4605,0.0187,0.2848,0.7347,91.66,196371
trk_00118,Musica 00118,Artista 079,funk,81,0.7848,0.6393,-8.868,0.1173,0.3746,0.0838,0.0136,0.3731,114.33,158456
trk_00119,Musica 00119,Artista 078,electronic,61,0.4933,0.6637,-9.5199,0.2569,0.1505,0.098,0.0474,0.3755,128.02,285002
trk_00120,Musica 00120,Artista 087,sertanejo,81,0.6663,0.6488,-7.9053,0.0057,0.3133,0.0485,0.1467,0.5271,112.46,214064
trk_00121,Musica 00121,Artista 212,sertanejo,55,0.717,0.4373,-0.6633,0.1824,0.5271,0.0322,0.3619,0.6853,117.8,234610
trk_00122,Musica 00122,Artista 149,funk,58,0.6099,0.2174,-5.8954,0.196,0.4022,0.0635,0.4194,0.8876,61.97,215036
trk_00123,Musica 00123,Artista 078,pop,80,0.7706,0.5114,-6.6804,0.1452,0.4232,0.0255,0.076,0.3827,139.95,178649
trk_00124,Musica 00124,Artista 193,hip-hop,75,0.4314,0.6993,-1.9498,0.0493,0.3652,0.0029,0.0502,0.3049,90.22,313638
trk_00125,Musica 00125,Artista 214,pop,59,0.46,0.7595,-2.2536,0.112,0.6953,0.0123,0.175,0.1771,129.28,278514
trk_00126,Musica 00126,Artista 249,electronic,79,0.5034,0.5847,-5.0965,0.4117,0.3342,0.0108,0.0856,0.9066,149.08,232969
trk_00127,Musica 00127,Artista 137,hip-hop,85,0.7939,0.396,-3.7192,0.34,0.226,0.0923,0.538,0.3903,101.89,164481
trk_00128,Musica 00128,Artista 145,pop,65,0.844,0.7171,-8.3544,0.234,0.2592,0.219,0.4741,0.4628,105.84,197810
trk_00129,Musica 00129,Artista 031,pop,69,0.5222,0.1994,0.7316,0.2107,0.3982,0.0557,0.2654,0.2668,143.99,226244
trk_00130,Musica 00130,Artista 099,sertanejo,63,0.6129,0.7963,-11.662,0.1342,0.0784,0.1511,0.2378,0.6459,123.55,194831
trk_00131,Musica 00131,Artista 196,pop,68,0.4469,0.837,-7.0421,0.0759,0.084,0.1972,0.1727,0.3118,137.05,165909
trk_00132,Musica 00132,Artista 037,r&b,75,0.4266,0.7046,-6.9823,0.0619,0.2194,0.0117,0.0156,0.3431,131.79,207381
trk_00133,Musica 00133,Artista 145,sertanejo,46,0.6358,0.2268,-8.5691,0.1631,0.4596,0.0812,0.038,0.5691,122.78,189858
trk_00134,Musica 00134,Artista 038,hip-hop,83,0.8014,0.7711,-5.1605,0.0631,0.508,0.0244,0.0758,0.8649,114.47,126462
trk_00135,Musica 00135,Artista 151,sertanejo,70,0.7008,0.7947,-0.8794,0.1397,0.2107,0.0011,0.262,0.5478,122.68,126903
trk_00136,Musica 00136,Artista 001,pop,93,0.4747,0.6558,-3.7112,0.1548,0.4806,0.0272,0.0141,0.523,150.86,222695
trk_00137,Musica 00137,Artista 181,dance,63,0.5185,0.6536,-6.0762,0.1859,0.3357,0.0542,0.1391,0.746,135.94,216331
trk_00138,Musica 00138,Artista 026,electronic,47,0.4079,0.2779,-3.352,0.134,0.5963,0.014,0.2614,0.4749,89.96,247782
trk_00139,Musica 00139,Artista 068,indie,67,0.6484,0.9054,-5.3231,0.0318,0.3245,0.0384,0.1422,0.4228,82.23,279814
trk_00140,Musica 00140,Artista 050,pop,67,0.6335,0.6187,-5.3271,0.0595,0.2693,0.005,0.2522,0.4112,134.48,129697
trk_00141,Musica 00141,Artista 207,electronic,50,0.6879,0.4976,-8.2067,0.1701,0.304,0.0886,0.3474,0.4799,55.0,173706
trk_00142,Musica 00142,Artista 017,electronic,51,0.5646,0.5108,-10.7349,0.0568,0.4978,0.0608,0.5015,0.3107,81.88,126032
trk_00143,Musica 00143,Artista 029,r&b,61,0.2474,0.4606,-6.8357,0.1143,0.1146,0.0202,0.179,0.8348,94.72,305136
trk_00144,Musica 00144,Artista 120,sertanejo,60,0.377,0.6772,-4.0609,0.1474,0.1373,0.041,0.1869,0.5103,137.31,209002
trk_00145,Musica 00145,Artista 149,electronic,72,0.8723,0.4386,0.0788,0.014,0.2294,0.011,0.1345,0.3285,147.87,133724
trk_00146,Musica 00146,Artista 249,rock,58,0.6372,0.5637,-6.5727,0.0545,0.3228,0.2189,0.012,0.1215,117.21,219641
trk_00147,Musica 00147,Artista 207,hip-hop,74,0.6898,0.6147,-5.5857,0.3486,0.704,0.0578,0.0978,0.483,102.07,156896
trk_00148,Musica 00148,Artista 111,electronic,66,0.682,0.5647,-7.6631,0.0799,0.1332,0.0343,0.2719,0.4388,116.42,258683
trk_00149,Musica 00149,Artista 076,electronic,41,0.5396,0.6554,-10.4797,0.0106,0.5824,0.0148,0.5319,0.363,200.69,177027
trk_00150,Musica 00150,Artista 200,pop,68,0.8094,0.8842,-6.3487,0.2055,0.1228,0.0609,0.2825,0.4324,143.05,196218
trk_00151,Musica 00151,Artista 244,latin,66,0.6486,0.7631,-6.5477,0.1036,0.1043,0.0156,0.2026,0.579,100.52,133119
trk_00152,Musica 00152,Artista 225,r&b,77,0.53,0.9399,-0.3812,0.3477,0.2757,0.0242,0.0897,0.4035,113.96,183611
trk_00153,Musica 00153,Artista 180,pop,65,0.9043,0.2486,-7.8367,0.1101,0.277,0.0197,0.2844,0.6238,82.05,198051
trk_00154,Musica 00154,Artista 037,sertanejo,64,0.6552,0.4382,-6.6348,0.1384,0.2819,0.0234,0.0038,0.3922,121.08,221821
trk_00155,Musica 00155,Artista 084,pop,74,0.8101,0.6491,-1.3255,0.068,0.3153,0.1934,0.2903,0.3143,106.6,312030
trk_00156,Musica 00156,Artista 072,funk,72,0.7921,0.6969,-2.3811,0.0114,0.4007,0.1756,0.1762,0.1719,116.89,65000
trk_00157,Musica 00157,Artista 133,rock,66,0.4905,0.8599,-1.8977,0.174,0.1866,0.2395,0.0267,0.4876,84.29,246529
trk_00158,Musica 00158,Artista 209,funk,53,0.5589,0.4391,-2.1977,0.3245,0.2062,0.2319,0.2978,0.4339,131.22,182184
trk_00159,Musica 00159,Artista 029,funk,47,0.8957,0.4621,-9.8225,0.0698,0.1431,0.2055,0.263,0.4477,128.44,198024
trk_00160,Musica 00160,Artista 073,indie,55,0.5891,0.7444,-11.2008,0.0326,0.1348,0.0287,0.2258,0.4689,149.99,171458
trk_00161,Musica 00161,Artista 167,pop,52,0.6399,0.5097,-5.435,0.1199,0.3401,0.0878,0.5284,0.6049,88.76,180516
trk_00162,Musica 00162,Artista 111,r&b,47,0.5743,0.8131,-5.8178,0.0491,0.5185,0.2508,0.0941,0.5278,102.72,128985
trk_00163,Musica 00163,Artista 144,rock,65,0.7334,0.9377,0.1293,0.0175,0.5919,0.0674,0.3016,0.1053,145.07,263126
trk_00164,Musica 00164,Artista 030,pop,53,0.5663,0.4247,-6.5468,0.0413,0.5455,0.0055,0.2527,0.6654,134.01,193997
trk_00165,Musica 00165,Artista 169,sertanejo,98,0.8176,0.5026,1.0,0.0712,0.0897,0.011,0.2621,0.585,131.63,309475
trk_00166,Musica 00166,Artista 178,hip-hop,61,0.6921,0.2306,-2.7133,0.3295,0.2488,0.1406,0.3361,0.5216,134.24,263055
trk_00167,Musica 00167,Artista 054,latin,65,0.7239,0.4196,-3.6096,0.0594,0.1392,0.0172,0.43,0.6115,140.4,254401
trk_00168,Musica 00168,Artista 062,indie,71,0.7624,0.2814,-3.0042,0.2468,0.1265,0.3895,0.3242,0.5219,169.34,342597
trk_00169,Musica 00169,Artista 218,hip-hop,75,0.6467,0.6433,-8.1782,0.0721,0.2227,0.0247,0.1007,0.495,166.25,187069
trk_00170,Musica 00170,Artista 166,dance,63,0.5916,0.6364,-7.7314,0.2432,0.1547,0.2199,0.2255,0.517,109.61,254614
trk_00171,Musica 00171,Artista 162,rock,38,0.3446,0.2505,-10.7007,0.3745,0.4215,0.2839,0.1497,0.8423,141.14,122814
trk_00172,Musica 00172,Artista 062,electronic,66,0.8082,0.8039,-5.2284,0.0241,0.2617,0.1569,0.4069,0.7239,76.02,240929
trk_00173,Musica 00173,Artista 228,rock,77,0.7906,0.6896,-10.0346,0.32,0.2518,0.263,0.2616,0.65,132.04,246933
trk_00174,Musica 00174,Artista 074,r&b,62,0.9159,0.915,-7.641,0.1591,0.814,0.0462,0.1637,0.3206,130.3,258475
trk_00175,Musica 00175,Artista 106,pop,67,0.7069,0.5544,-7.2695,0.0679,0.346,0.2357,0.4498,0.2307,129.92,173487
trk_00176,Musica 00176,Artista 230,pop,63,0.476,0.6901,-11.4177,0.0138,0.4893,0.0898,0.1057,0.6283,189.07,233487
trk_00177,Musica 00177,Artista 095,electronic,75,0.8479,0.5352,-6.2625,0.2126,0.3335,0.0066,0.425,0.2312,145.68,187448
trk_00178,Musica 00178,Artista 170,dance,57,0.6126,0.5703,-10.5705,0.0197,0.2993,0.0563,0.0669,0.4557,123.02,191242
trk_00179,Musica 00179,Artista 132,r&b,65,0.5178,0.6666,-6.6415,0.1397,0.3569,0.0176,0.273,0.163,73.43,198885
trk_00180,Musica 00180,Artista 231,indie,60,0.7283,0.8961,-9.8608,0.1795,0.1218,0.2539,0.062,0.6355,129.82,221480
trk_00181,Musica 00181,Artista 019,r&b,79,0.4447,0.8164,-0.3868,0.3277,0.199,0.0406,0.2012,0.624,167.81,224482
trk_00182,Musica 00182,Artista 080,r&b,65,0.7299,0.7062,-1.1194,0.1452,0.4878,0.0057,0.2637,0.5303,60.62,278341
trk_00183,Musica 00183,Artista 229,electronic,48,0.5888,0.3681,-9.6273,0.269,0.6839,0.1489,0.2291,0.2137,137.59,271210
trk_00184,Musica 00184,Artista 142,hip-hop,76,0.8291,0.5737,-5.6949,0.2286,0.0464,0.0389,0.3127,0.254,111.16,207900
trk_00185,Musica 00185,Artista 046,indie,74,0.7447,0.8187,0.8098,0.1228,0.2893,0.0839,0.0818,0.2334,143.51,249173
trk_00186,Musica 00186,Artista 013,funk,80,0.322,0.8299,1.0,0.0348,0.203,0.066,0.048,0.3829,101.96,223960
trk_00187,Musica 00187,Artista 032,hip-hop,97,0.7864,0.5355,-6.7933,0.031,0.0575,0.0692,0.174,0.647,109.53,179362
trk_00188,Musica 00188,Artista 182,pop,63,0.553,0.6078,-8.1861,0.0451,0.1857,0.0032,0.0249,0.8706,142.91,209690
trk_00189,Musica 00189,Artista 012,indie,74,0.9435,0.5533,0.884,0.1478,0.109,0.0751,0.2335,0.6887,123.43,242151
trk_00190,Musica 00190,Artista 058,rock,49,0.581,0.3455,-10.3107,0.2393,0.6224,0.0277,0.2007,0.3828,139.72,267969
trk_00191,Musica 00191,Artista 210,r&b,87,0.7516,0.7943,-1.8079,0.0268,0.2102,0.035,0.2091,0.4383,141.35,233062
trk_00192,Musica 00192,Artista 068,rock,52,0.5649,0.5812,-6.4829,0.0707,0.5396,0.0081,0.3155,0.4996,122.32,261467
trk_00193,Musica 00193,Artista 120,pop,67,0.7538,0.6704,-6.1436,0.0066,0.3457,0.0307,0.6851,0.5332,185.74,267182
